file,rows,cols,cpu_ms,gpu_ms
data/input_size_0.txt,1000,1000,2.326400,4.156700
data/input_size_1.txt,2000,2000,10.393700,15.825200
data/input_size_2.txt,3000,3000,22.845200,33.064500
data/input_size_3.txt,4000,4000,44.227200,55.153000
data/input_size_4.txt,5000,5000,67.217100,87.738300
data/input_size_5.txt,6000,6000,90.082100,117.352400
data/input_size_6.txt,7000,7000,127.970600,164.714400
data/input_size_7.txt,8000,8000,164.867700,209.738600
data/input_size_8.txt,9000,9000,205.805200,262.690800
data/input_size_9.txt,10000,10000,252.043500,326.879600
